FIELD NAME,DESCRIPTION,MANDATORY,MULTIVALUED,IS_REQUIRED_FOR_SMS_VERIFICATION,DEPENDENCIES,ALLOWED VALUES
business_id,Citibytes Business ID,TRUE,FALSE,TRUE,,
business_name,Business Name,TRUE,FALSE,TRUE,,
chain_name,The chain of business to which this business belongs to,FALSE,FALSE,TRUE,,
address_line_1,"Address number,street name etc",TRUE,FALSE,TRUE,,
address_line_2,Line 2 of Address,FALSE,FALSE,TRUE,,
city,,TRUE,FALSE,TRUE,,
state,,TRUE,FALSE,TRUE,,
pincode,,TRUE,FALSE,TRUE,,
landmark,The neighborhood(s) or other informal geography in which this entity is found.,FALSE,TRUE,TRUE,,
mobile_number,Mobile No - 10 digit - +91 should be there as default,TRUE,TRUE,TRUE,,
contact_person_name,Business Owner/Business Manager/Contact Person Name,FALSE,FALSE,TRUE,,
landline_number,landline No - With STD CODE,FALSE,TRUE,TRUE,,
website,Authority page (official website),FALSE,FALSE,TRUE,,
email,Contact Email address,FALSE,FALSE,TRUE,,
latitude,Latitude in decimal degrees. Value will not exceed 6 decimal places,TRUE,FALSE,FALSE,,
longitude,Longitude in decimal degrees. Value will not exceed 6 decimal places,TRUE,FALSE,FALSE,,
location_accuracy,Accuracy of Geocode in metres,TRUE,FALSE,FALSE,,
location_provider,Provider from which location is extracted,TRUE,FALSE,FALSE,,"GPS,MANUAL"
hours_of_operation,JSON representation of hours of operation,TRUE,FALSE,FALSE,,
business_description,A brief description about the business,FALSE,FALSE,FALSE,,
business_category,Category labels that describe the category branch or 'breadcrumb'.,TRUE,TRUE,FALSE,,
photo_url,Photo URL stored in S3,TRUE,TRUE,FALSE,,
created_by_user,The username who created the given business entity,TRUE,FALSE,TRUE,,
created_time,The time at which the business entity was created,TRUE,FALSE,TRUE,,
last_updated_user,The username who edited the given business entityt,TRUE,FALSE,TRUE,,
last_updated_time,The time at which the business entity was updated,TRUE,FALSE,TRUE,,
status,,TRUE,FALSE,TRUE,,"TRANSIENT,BUSINESS_VERIFIED_INCOMPLETE,BUSINESS_VERIFIED_COMPLETE,NEEDS_UPDATE"
otp,The Confirmation code for verification,TRUE,FALSE,TRUE,,